frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,195.26629848067748,728.1000000014903,3.6378354129921076e-15,790.2517166487371,728.1000000014903,3.5524237986674963e-15,748.0,693.0,0.0
1,195.26629848067748,728.1000000014903,3.6357527961085825e-15,790.2517166487371,728.1000000014903,3.5525521382563414e-15,748.0,693.0,0.0
2,195.26629848067748,728.1000000014903,3.63384315632611e-15,790.2517166487371,728.1000000014903,3.5526804778451865e-15,748.0,693.0,0.0
3,195.26629848067748,728.1000000014903,3.632489913302369e-15,790.2517166487371,728.1000000014903,3.5528088174340316e-15,748.0,693.0,0.0
4,195.26629848067748,728.1000000014903,3.631786870869164e-15,790.2517166487371,728.1000000014903,3.552937157022876e-15,748.0,693.0,0.0
5,195.26629848067748,728.1000000014903,3.631358813699277e-15,790.2517166487371,728.1000000014903,3.553065496611721e-15,748.0,693.0,0.0
6,195.26629848067748,728.1000000014903,3.631024560361195e-15,790.2517166487371,728.1000000014903,3.5531938362005656e-15,748.0,693.0,0.0
7,195.26629848067748,728.1000000014903,3.631246703781845e-15,790.2517166487371,728.1000000014903,3.55332217578941e-15,748.0,693.0,0.0
8,195.26629848067748,728.1000000014903,3.631743832465812e-15,790.2517166487371,728.1000000014903,3.553450515378255e-15,748.0,693.0,0.0
9,195.26629848067748,728.1000000014903,3.632891161740316e-15,790.2517166487371,728.1000000014903,3.5535788549671e-15,748.0,693.0,0.0
10,195.26629848067748,728.1000000014903,3.6343134762781375e-15,790.2517166487371,728.1000000014903,3.553707194555944e-15,748.0,693.0,0.0
11,195.26629848067748,728.1000000014903,3.6363859914064955e-15,790.2517166487371,728.1000000014903,3.553835534144789e-15,748.0,693.0,0.0
12,195.26629848067748,728.1000000014903,3.638733491798171e-15,790.2517166487371,728.1000000014903,3.553963873733634e-15,748.0,693.0,0.0
13,195.26629848067748,728.1000000014903,3.6417311927803835e-15,790.2517166487371,728.1000000014903,3.554092213322478e-15,748.0,693.0,0.0
14,195.26629848067748,728.1000000014903,3.6445330817685255e-15,790.2517166487371,728.1000000014903,3.554220552911323e-15,748.0,693.0,0.0
15,195.26629848067748,728.1000000014903,3.647161993655616e-15,790.2517166487371,728.1000000014903,3.554348892500168e-15,748.0,693.0,0.0
16,195.26629848067748,728.1000000014903,3.6492345087839736e-15,790.2517166487371,728.1000000014903,3.554477232089012e-15,748.0,693.0,0.0
17,195.26629848067748,728.1000000014903,3.650656823321795e-15,790.2517166487371,728.1000000014903,3.554605571677857e-15,748.0,693.0,0.0
18,195.26629848067748,728.1000000014903,3.651804152596299e-15,790.2517166487371,728.1000000014903,3.554733911266702e-15,748.0,693.0,0.0
19,195.26629848067748,728.1000000014903,3.6523012812802664e-15,790.2517166487371,728.1000000014903,3.5548622508555464e-15,748.0,693.0,0.0
20,195.26629848067748,728.1000000014903,3.652523424700916e-15,790.2517166487371,728.1000000014903,3.554990590444391e-15,748.0,693.0,0.0
21,195.26629848067748,728.1000000014903,3.652095367531029e-15,790.2517166487371,728.1000000014903,3.555118930033236e-15,748.0,693.0,0.0
22,195.26629848067748,728.1000000014903,3.651392325097824e-15,790.2517166487371,728.1000000014903,3.5552472696220804e-15,748.0,693.0,0.0
23,195.26629848067748,728.1000000014903,3.650595478832815e-15,790.2517166487371,728.1000000014903,3.555375609210925e-15,748.0,693.0,0.0
24,195.26629848067748,728.1000000014903,3.6492422358090736e-15,790.2517166487371,728.1000000014903,3.55550394879977e-15,748.0,693.0,0.0
